shobi_code,shobi_name,inspired_by,brand,gender,status,new,shobi_url,identity_source_type,identity_source_url,identity_verified,identity_match_rule,secondary_identity_source,fragrantica_url,top_notes,heart_notes,base_notes,notes,season,image,description,last_built_utc
2849-STE N,HARRODS RUBY NAGA,HARRODS RUBY NAGA,Stéphane Humbert Lucas 777,unisex,IN_STOCK,1,https://leparfum.com.gr/el/niche-αρώματα/2849-ste-n#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,SHOBI_OFFICIAL_EXPLICIT,https://www.fragrantica.com/perfume/stephane-humbert-lucas-777/harrods-ruby-naga-74594.html,1,single-exact-code-token+globally-unique-fragrantica-name,https://www.fragrantica.com/perfume/stephane-humbert-lucas-777/harrods-ruby-naga-74594.html,https://www.fragrantica.com/perfume/stephane-humbert-lucas-777/harrods-ruby-naga-74594.html,,,,,,https://raw.githubusercontent.com/MarvvRed/Shobi-Perfume-Inspiration/fragrantica-image-cache/images/74594.avif,"2849-STE Εμπνευσμένο από τις αρωματικές νότες του HARRODS RUBY NAGA. Unisex άρωμα φρουτώδες, λουλουδάτο, γλυκό, βανιλένιο και κεχριμπαρένιο.",2026-08-17T14:04:44+00:00
2848-PRFRO N,VANITAS,VANITAS,,unisex,IN_STOCK,1,https://leparfum.com.gr/el/niche-αρώματα/2848-prfro-n#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,SHOBI_OFFICIAL_EXPLICIT,https://leparfum.com.gr/el/niche-αρώματα/2848-prfro-n#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,1,shobi-explicit-inspired-by,,,,,,,,,"2848-PRFRO Εμπνευσμένο από τις αρωματικές νότες του VANITAS. Unisex άρωμα βανιλένιο, γλυκό, βαλσαμικό, λουλουδάτο και ξυλώδες.",2026-08-17T14:04:44+00:00
2847-NISH N,HUNDRED SILENT WAYS X,HUNDRED SILENT WAYS X,Nishane,unisex,IN_STOCK,1,https://leparfum.com.gr/el/niche-αρώματα/2847-nish-n#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,SHOBI_OFFICIAL_EXPLICIT,https://www.fragrantica.com/perfume/nishane/hundred-silent-ways-x-80463.html,1,learned-shobi-brand-token+fragrantica-name-exact,https://www.fragrantica.com/perfume/nishane/hundred-silent-ways-x-80463.html,https://www.fragrantica.com/perfume/Nishane/Hundred-Silent-Ways-X-80463.html,Peach | Tuberose | Mandarin Orange,Gardenia | Jasmine | Heliotrope | Iris,Leather | Vanilla | Patchouli,Peach | Tuberose | Mandarin Orange | Gardenia | Jasmine | Heliotrope | Iris | Leather | Vanilla | Patchouli,,https://raw.githubusercontent.com/MarvvRed/Shobi-Perfume-Inspiration/fragrantica-image-cache/images/80463.avif,"2847-NISH Εμπνευσμένο από τις αρωματικές νότες του HUNDRED SILENT WAYS X. Unisex άρωμα λουλουδάτο, gourmand, δερμάτινο, βανιλένιο και φρουτώδες.",2026-08-17T14:04:44+00:00
2846-MIN N,COUNTER PLAY,COUNTER PLAY,,unisex,IN_STOCK,1,https://leparfum.com.gr/el/niche-αρώματα/2846-min-n#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,SHOBI_OFFICIAL_EXPLICIT,https://leparfum.com.gr/el/niche-αρώματα/2846-min-n#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,1,shobi-explicit-inspired-by,,,,,,,,,"2846-MIN Εμπνευσμένο από τις αρωματικές νότες του COUNTER PLAY. Unisex άρωμα φρουτώδες, τροπικό, λουλουδάτο, ξυλώδες και γλυκό.",2026-08-17T14:04:44+00:00
2845-LUS,WE BELIEVE IN GLINDA,WE BELIEVE IN GLINDA,,unisex,IN_STOCK,1,https://leparfum.com.gr/el/elegant-αρώματα/2845-lus#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,SHOBI_OFFICIAL_EXPLICIT,https://leparfum.com.gr/el/elegant-αρώματα/2845-lus#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,1,shobi-explicit-inspired-by,,https://www.fragrantica.com/perfume/Lush/We-Believe-in-Glinda-117589.html,,,,,,https://raw.githubusercontent.com/MarvvRed/Shobi-Perfume-Inspiration/fragrantica-image-cache/images/117589.avif,"2845-LUS Εμπνευσμένο από τις αρωματικές νότες του WE BELIEVE IN GLINDA. Unisex άρωμα πουδρένιο, λουλουδάτο, βιολετί, βανιλένιο και αμυγδαλένιο.",2026-08-17T14:04:44+00:00
2844-LUS,BLACK PEARL,BLACK PEARL,,unisex,IN_STOCK,1,https://leparfum.com.gr/el/elegant-αρώματα/2844-lus#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,SHOBI_OFFICIAL_EXPLICIT,https://leparfum.com.gr/el/elegant-αρώματα/2844-lus#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,1,shobi-explicit-inspired-by,,,,,,,,,"2844-LUS Εμπνευσμένο από τις αρωματικές νότες του BLACK PEARL. Unisex άρωμα αρωματικό, βοτανικό, λουλουδάτο, ρητινώδες και κεχριμπαρένιο.",2026-08-17T14:04:44+00:00
2843-LEL N,LABDANUM 18,LABDANUM 18,,unisex,IN_STOCK,1,https://leparfum.com.gr/el/niche-αρώματα/2843-lel-n#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,SHOBI_OFFICIAL_EXPLICIT,https://leparfum.com.gr/el/niche-αρώματα/2843-lel-n#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,1,shobi-explicit-inspired-by,,,,,,,,,"2843-LEL Εμπνευσμένο από τις αρωματικές νότες του LABDANUM 18. Unisex άρωμα κεχριμπαρένιο, μοσχώδες, ρητινώδες, βανιλένιο και ζεστά πικάντικο.",2026-08-17T14:04:44+00:00
2842-KYLJ W,VANILLA DEW,VANILLA DEW,,women,IN_STOCK,1,https://leparfum.com.gr/el/γυναικεία-αρώματα/2842-kylj-w#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,SHOBI_OFFICIAL_EXPLICIT,https://leparfum.com.gr/el/γυναικεία-αρώματα/2842-kylj-w#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,1,shobi-explicit-inspired-by,,https://www.fragrantica.com/perfume/Kylie-Cosmetics/Vanilla-Dew-117345.html,,,,,,https://raw.githubusercontent.com/MarvvRed/Shobi-Perfume-Inspiration/fragrantica-image-cache/images/117345.avif,"2842-KYLJ Εμπνευσμένο από τις αρωματικές νότες του VANILLA DEW. Γυναικείο άρωμα κρεμώδες, βανιλένιο, γαλακτώδες, λουλουδάτο και αμυγδαλένιο.",2026-08-17T14:04:44+00:00
2841-KYLJ W,SWEET ECLAIRE,SWEET ECLAIRE,,women,IN_STOCK,1,https://leparfum.com.gr/el/γυναικεία-αρώματα/2841-kylj-w#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,SHOBI_OFFICIAL_EXPLICIT,https://leparfum.com.gr/el/γυναικεία-αρώματα/2841-kylj-w#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,1,shobi-explicit-inspired-by,,,,,,,,,"2841-KYLJ Εμπνευσμένο από τις αρωματικές νότες του SWEET ECLAIRE. Γυναικείο gourmand άρωμα με σοκολάτα, βανίλια, γλυκές νότες και ξυλώδες κεχριμπάρι.",2026-08-17T14:04:44+00:00
2840-KYLJ W,CARAMEL CLOUD,CARAMEL CLOUD,,women,IN_STOCK,1,https://leparfum.com.gr/el/γυναικεία-αρώματα/2840-kylj-w#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,SHOBI_OFFICIAL_EXPLICIT,https://leparfum.com.gr/el/γυναικεία-αρώματα/2840-kylj-w#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,1,shobi-explicit-inspired-by,,,,,,,,,"2840-KYLJ Εμπνευσμένο από τις αρωματικές νότες του CARAMEL CLOUD. Γυναικείο gourmand άρωμα με καραμέλα, βανίλια, ξηρούς καρπούς και γλυκές νότες.",2026-08-17T14:04:44+00:00
