change,prestashop_product_id,shobi_name,reference,fields
MODIFIED,106,390-ACQ,MP006,price_from_eur
MODIFIED,107,1004-ACQ MP,MP007,price_from_eur
MODIFIED,108,1005-ACQ MP,MP008,price_from_eur
MODIFIED,109,1007-ACQ MP,MP009,price_from_eur
MODIFIED,110,1008-ACQ MP,MP010,price_from_eur
MODIFIED,111,1009-ACQ MP,MP011,price_from_eur
MODIFIED,112,1010-ACQ MP,MP012,price_from_eur
MODIFIED,113,1011-ARA MP,MP013,price_from_eur
MODIFIED,114,1012-ARA MP,MP014,price_from_eur
MODIFIED,115,1013-ARA MP,MP015,price_from_eur
MODIFIED,116,1014-AZZ M,MP016,price_from_eur
MODIFIED,117,1015-AZZ M,MP017,price_from_eur
MODIFIED,118,1016-AZZ M,MP018,price_from_eur
MODIFIED,119,1018-AZZ M,MP019,price_from_eur
MODIFIED,120,1019-AZZ M,MP020,price_from_eur
MODIFIED,121,1020-AZZ M,MP021,price_from_eur
MODIFIED,122,1021-BOG MP,MP022,price_from_eur
MODIFIED,123,1022-BOT MP,MP023,price_from_eur
MODIFIED,124,1023-BOT MP,MP024,price_from_eur
MODIFIED,125,1024-BOU MP,MP025,price_from_eur
MODIFIED,126,1025-BRB MP,MP026,price_from_eur
MODIFIED,127,1026-BRB MP,MP027,price_from_eur
MODIFIED,128,1027-BRB MP,MP028,price_from_eur
MODIFIED,129,1028-BRB MP,MP029,price_from_eur
MODIFIED,130,1029-BRB MP,MP030,price_from_eur
MODIFIED,131,1030-BRB MP,MP031,price_from_eur
MODIFIED,132,1031-BRB MP,MP032,price_from_eur
MODIFIED,133,1032-BRB MP,MP033,price_from_eur
MODIFIED,134,1033-BRB MP,MP034,price_from_eur
MODIFIED,135,1034-BLG MP,MP035,price_from_eur
MODIFIED,136,1035-BLG MP,MP036,price_from_eur
MODIFIED,137,1036-BLG MP,MP037,price_from_eur
MODIFIED,138,1038-BLG MP,MP038,price_from_eur
MODIFIED,139,1039-BLG MP,MP039,price_from_eur
MODIFIED,140,1040-BLG MP,MP040,price_from_eur
MODIFIED,141,1041-BLG MP,MP041,price_from_eur
MODIFIED,142,1042-CAC M,MP042,price_from_eur
MODIFIED,143,1043-CAL MP,MP043,price_from_eur
MODIFIED,145,1045-CAL MP,MP045,price_from_eur
MODIFIED,146,1047-CAL MP,MP046,price_from_eur
MODIFIED,147,1048-CAL M,MP047,price_from_eur
MODIFIED,148,1049-CAL MP,MP048,price_from_eur
MODIFIED,149,1050-CAL MP,MP049,price_from_eur
MODIFIED,150,1051-CAL MP,MP050,price_from_eur
MODIFIED,151,476-CAL,MP051,price_from_eur
MODIFIED,152,1054-CAR M,MP052,price_from_eur
MODIFIED,153,1055-CAR M,MP053,price_from_eur
MODIFIED,154,1056-CAR M,MP054,price_from_eur
MODIFIED,155,1057-CAR MP,MP055,price_from_eur
MODIFIED,156,1059-CRT MP,MP056,price_from_eur
MODIFIED,157,1060-CRT MP,MP057,price_from_eur
MODIFIED,158,1061-CRT MP,MP058,price_from_eur
MODIFIED,159,1062-CRT MP,MP059,price_from_eur
MODIFIED,160,1063-CER MP,MP060,price_from_eur
MODIFIED,161,1064-CHA M,MP061,price_from_eur
MODIFIED,162,1065-CHA M,MP062,price_from_eur
MODIFIED,163,1066-CHA M,MP063,price_from_eur
MODIFIED,164,1067-CHA M,MP064,price_from_eur
MODIFIED,165,1068-CHA M,MP065,price_from_eur
MODIFIED,166,1069-CHA M,MP066,price_from_eur
MODIFIED,167,1070-CHA M,MP067,price_from_eur
MODIFIED,168,1071-DRC M,MP068,price_from_eur
MODIFIED,169,1073-DRC M Perfume,MP069,price_from_eur
MODIFIED,170,1074-DRC M,MP070,price_from_eur
MODIFIED,171,1075-DRC M,MP071,price_from_eur
MODIFIED,172,1076 - DRC M,MP072,price_from_eur
MODIFIED,173,1077-DRC M,MP073,price_from_eur
MODIFIED,174,1078-DRC M,MP074,price_from_eur
MODIFIED,175,1079-DRC M Perfume,MP075,price_from_eur
MODIFIED,176,1080-DRC M,MP076,price_from_eur
MODIFIED,178,1082-DRC M,MP078,price_from_eur
MODIFIED,179,1083-DRC M,MP079,price_from_eur
MODIFIED,181,1085-DRC M,MP081,price_from_eur
MODIFIED,182,1086-CLI MP,MP082,price_from_eur
MODIFIED,183,1087-COM MP,MP083,price_from_eur
MODIFIED,184,1089-COM MP,MP084,price_from_eur
MODIFIED,185,1092-DOL,MP085,price_from_eur
MODIFIED,186,1093-DOL MP,MP086,price_from_eur
MODIFIED,187,1095-DOL M,MP087,price_from_eur
MODIFIED,188,1096-DOL M,MP088,price_from_eur
MODIFIED,190,1098-DOL M,MP090,price_from_eur
MODIFIED,191,1099-DOL MP,MP091,price_from_eur
MODIFIED,192,1101-DOL MP,MP092,price_from_eur
MODIFIED,193,1102-DAV MP,MP093,price_from_eur
MODIFIED,194,1103-DAV MP,MP094,price_from_eur
MODIFIED,195,1104-DAV MP,MP095,price_from_eur
MODIFIED,196,1105-DAV MP,MP096,price_from_eur
MODIFIED,197,1106-DAV MP,MP097,price_from_eur
MODIFIED,198,1107-DIE M,MP098,price_from_eur
MODIFIED,199,1108-DIE M,MP099,price_from_eur
MODIFIED,200,1109-DIE M,MP100,price_from_eur
MODIFIED,201,1110-DSQ MP,MP101,price_from_eur
MODIFIED,202,1111-DSQ MP,MP102,price_from_eur
MODIFIED,203,1112-DSQ MP,MP103,price_from_eur
MODIFIED,204,1113-DSQ MP,MP104,price_from_eur
MODIFIED,205,1114-DUN MP,MP105,price_from_eur
MODIFIED,206,1135-ARM M,MP106,price_from_eur
MODIFIED,207,1137-ARM M,MP107,price_from_eur
MODIFIED,208,1115-ZEG MP,MP108,price_from_eur
MODIFIED,209,1116-ZEG MP,MP109,price_from_eur
MODIFIED,210,1117-EST MP,MP110,price_from_eur
MODIFIED,211,1118-FAB MP,MP111,price_from_eur
MODIFIED,212,1119-FEN MP,MP112,price_from_eur
MODIFIED,213,1120-FER MP,MP113,price_from_eur
MODIFIED,215,1122-GFE MP,MP115,price_from_eur
MODIFIED,216,1123-ARM M,MP116,price_from_eur
MODIFIED,217,1124-ARM M,MP117,price_from_eur
MODIFIED,218,1125-ARM M,MP118,price_from_eur
MODIFIED,220,1128-ARM M,MP120,price_from_eur
MODIFIED,221,1129-ARM M,MP121,price_from_eur
MODIFIED,222,1130-ARM M,MP122,price_from_eur
MODIFIED,223,1131-ARM M,MP123,price_from_eur
MODIFIED,224,1132-ARM M,MP124,price_from_eur
MODIFIED,225,1133-ARM M,MP125,price_from_eur
MODIFIED,226,1134-ARM M,MP126,price_from_eur
MODIFIED,227,1136-ARM M,MP127,price_from_eur
MODIFIED,228,1138-GIV M,MP128,price_from_eur
MODIFIED,229,1139-GIV M,MP129,price_from_eur
MODIFIED,230,1140-GIV M,MP130,price_from_eur
MODIFIED,231,1141-GIV M,MP131,price_from_eur
