change,prestashop_product_id,shobi_name,reference,fields
MODIFIED,271,1184-JOO MP,MP171,url
MODIFIED,333,1256-ROC Μ,MP233,url
MODIFIED,2127,178-VIL Ν,AR059,url
MODIFIED,2254,1533-SERG Ν,AR093,url
MODIFIED,2599,1745-SERG Ν,AR132,url
MODIFIED,2942,Dopamine Arabic Perfume العطور,AR236,url
MODIFIED,3111,1994-ROJ Ν,AR254,url
MODIFIED,3115,2000-BLG Ν,AR256,url
MODIFIED,3116,1929-BLG Ν,AR257,url
MODIFIED,3120,2005-EXN Ν,AR261,url
MODIFIED,3192,2006-NISH Ν,AR263,url
MODIFIED,3355,1973-ETLR Ν,AR266,url
MODIFIED,3363,1982-ALEX Ν,AR270,url
MODIFIED,3367,1986-SOO Ν,AR272,url
MODIFIED,3369,1988-THEVE Ν,AR274,url
MODIFIED,3372,1926-KOS Ν,AR276,url
MODIFIED,3374,2016-PARELM Ν,AR278,url
MODIFIED,3444,2025-TER Ν,AR281,url
MODIFIED,3448,2029-GUC Ν,AR283,url
MODIFIED,3454,2069-NISH Ν,AR284,url
MODIFIED,3455,2085-CLIV Ν,AR285,url
MODIFIED,3468,2066-LEL Ν,AR286,url
MODIFIED,3471,2067-ROJ Ν,AR288,url
MODIFIED,3475,2047-KIL Ν,AR289,url
MODIFIED,3476,2049-NISH Ν,AR290,url
MODIFIED,3477,2050-NISH Ν,AR291,url
MODIFIED,3478,2051-PRFRO Ν,AR292,url
MODIFIED,3485,2106 - MARC Ν,AR295,url
MODIFIED,3499,2110-AMG Ν,AR300,url
MODIFIED,3528,2053-BDIK Ν,AR303,url
MODIFIED,3538,2128-BEN MP,MP338,url
MODIFIED,3563,2136-PARF Ν,AR304,url
MODIFIED,3568,2134-MEM Ν,AR308,url
MODIFIED,3570,2137-ROJ Ν,AR310,url
MODIFIED,3574,2142-PARF Ν,AR313,url
MODIFIED,3600,2059-NARC Ν,AR318,url
MODIFIED,3629,2170-BOA Ν,AR319,url
MODIFIED,3670,2177-SERG Ν,AR322,url
MODIFIED,3675,2181-AMG Ν,AR323,url
MODIFIED,3684,2184-KIL Ν,AR326,url
MODIFIED,3685,2186-PARF Ν,AR327,url
MODIFIED,3686,2190-ROJ Ν,AR329,url
MODIFIED,3717,2199-LAT Ν,AR330,url
MODIFIED,3726,2195-LEL Ν,AR332,url
MODIFIED,3732,2194-ORT Ν,AR337,url
MODIFIED,3798,2202-ROJ Ν,AR339,url
MODIFIED,3808,2169-ROJ Ν,AR342,url
MODIFIED,3811,2231-NISH Ν,AR343,url
MODIFIED,3812,2207-BLG Ν,AR344,url
MODIFIED,3820,2225-BON Ν,AR345,url
MODIFIED,3822,2223-AMG Ν,AR346,url
MODIFIED,3829,2236-NISH Ν,AR347,url
MODIFIED,3831,2253-ALEX Ν,AR348,url
MODIFIED,3832,2252-KIL Ν,AR349,url
MODIFIED,3833,2242-THESPD Ν,AR350,url
MODIFIED,3840,2251-JOVP Ν,AR354,url
MODIFIED,3890,2261-PARF Ν,AR356,url
MODIFIED,3894,2263-NAS Ν,AR357,url
MODIFIED,3901,2262-MEM Ν,AR358,url
MODIFIED,3909,2260-BON Ν,AR359,url
MODIFIED,3918,2268-AMG Ν,AR364,url
MODIFIED,3919,2269-ARB Ν,AR365,url
MODIFIED,3920,2270-ORMO Ν,AR366,url
MODIFIED,3924,2275-ROJ Ν,AR368,url
MODIFIED,3929,2271-ROJ Ν,AR371,url
MODIFIED,3933,2276-ATKI Ν,AR372,url
MODIFIED,3934,2273-TER Ν,AR373,url
MODIFIED,3935,2277-AMG Ν,AR374,url
MODIFIED,3937,2295-FLOR Ν,AR375,url
MODIFIED,3938,2298-ELEC Ν,AR376,url
MODIFIED,3950,2309-ATKI Ν,AR379,url
MODIFIED,3951,2305-ATKI Ν,AR380,url
MODIFIED,3955,2306-MASQ Ν,AR381,url
MODIFIED,3960,2303-EXN Ν,AR382,url
MODIFIED,3965,2327-SWISA Ν,AR384,url
MODIFIED,3967,2330-JUL Ν,AR385,url
MODIFIED,3969,2337-LEL Ν,AR386,url
MODIFIED,4009,2348-AMG Ν,AR387,url
MODIFIED,4012,2321-PARF Ν,AR389,url
MODIFIED,4021,2318-NAS Ν,AR393,url
MODIFIED,4022,2317-TER Ν,AR394,url
MODIFIED,4023,2316-ATKI Ν,AR395,url
MODIFIED,4036,2344-LEL Ν,AR396,url
MODIFIED,4080,2324-KIL Ν,AR397,url
MODIFIED,4083,2355-LEL Ν,AR398,url
MODIFIED,4101,2367-DIP Ν,AR404,url
MODIFIED,4102,2347-AMG Ν,AR405,url
MODIFIED,4104,2335-BOA Ν,AR407,url
MODIFIED,4105,2334-ROJ Ν,AR408,url
MODIFIED,4107,2340-BON Ν,AR410,url
MODIFIED,4109,2378-GOLD Ν,AR411,url
MODIFIED,4119,2390-ANFAS Ν,AR413,url
MODIFIED,4120,2392-ANFAS Ν,AR412,url
MODIFIED,4121,2387-EXN Ν,AR414,url
