prestashop_product_id,shobi_code,shobi_name,inspired_by,brand,gender,status,new,shobi_url,identity_source_type,identity_source_url,identity_verified,identity_match_rule,secondary_identity_source,fragrantica_url,top_notes,heart_notes,base_notes,notes,season,image,description,last_built_utc
1879,305-KAY EL,VANILLA 28 - KAYALI,VANILLA 28 - KAYALI,Kayali,women,IN_STOCK,0,https://leparfum.com.gr/en/elegants-fragrances/305-kay-el,SHOBI_OFFICIAL_EXPLICIT,https://raw.githubusercontent.com/smellyCat-deep/shobi_inspiration/main/database_complete.json,1,shobi-explicit-inspired-by,https://raw.githubusercontent.com/smellyCat-deep/shobi_inspiration/main/database_complete.json,,,,,,,,"305-KAY EL Inspired by the fragrance notes of VANILLA 28 - KAYALI.Fragrance sweet, amber, vanilla, woody, powdery.",2026-08-21T00:39:16.103939+00:00
2266,1508-KIL WP,ANGELS SHARE - KILIAN,ANGELS SHARE - KILIAN,Kilian Paris,unisex,IN_STOCK,0,https://leparfum.com.gr/en/fragrances-for-women/1508-kil-wp,SHOBI_OFFICIAL_EXPLICIT,https://raw.githubusercontent.com/smellyCat-deep/shobi_inspiration/main/database_complete.json,1,shobi-explicit-inspired-by,https://raw.githubusercontent.com/smellyCat-deep/shobi_inspiration/main/database_complete.json,https://www.fragrantica.com/perfume/By-Kilian/Angels-Share-62615.html,,,,,,https://raw.githubusercontent.com/MarvvRed/Shobi-Perfume-Inspiration/fragrantica-image-cache/images/62615.avif,"1508-KIL WP Inspired by the fragrance notes of ANGELS SHARE - KILIAN. Perfume woody, warm spicy, sweet, vanilla, cinnamon, amber, powdery.",2026-08-21T00:39:16.104016+00:00
2563,451-BYR WP,Blanche,Blanche,Byredo,women,IN_STOCK,0,https://leparfum.com.gr/en/fragrances-for-women/451-byr-wp,SHOBI_OFFICIAL_EXPLICIT,https://raw.githubusercontent.com/smellyCat-deep/shobi_inspiration/main/database_complete.json,1,shobi-explicit-inspired-by,https://raw.githubusercontent.com/smellyCat-deep/shobi_inspiration/main/database_complete.json,https://www.fragrantica.com/perfume/Byredo/Blanche-6686.html,,,,,,https://raw.githubusercontent.com/MarvvRed/Shobi-Perfume-Inspiration/fragrantica-image-cache/images/6686.avif,"451-BYR WP Inspired by the fragrance notes of Blanche. Fragrance soapy, clean. Fresh, aldehydic, musky, floral, powdery, rose, violet, woody, soapy.",2026-08-21T00:39:16.104064+00:00
1258,374-TMFO EL,TOBACCO VANILLE,TOBACCO VANILLE,Tom Ford,unisex,IN_STOCK,0,https://leparfum.com.gr/en/elegants-fragrances/374-tmfo-el,SHOBI_OFFICIAL_EXPLICIT,https://raw.githubusercontent.com/smellyCat-deep/shobi_inspiration/main/database_complete.json,1,shobi-explicit-inspired-by,https://raw.githubusercontent.com/smellyCat-deep/shobi_inspiration/main/database_complete.json,https://thescentbase.com/it/perfumes/tom-ford/tobacco-vanille,Spicy Notes | Tobacco Leaf,Cacao | Tobacco Blossom | Tonka Bean | Vanilla,Dried Fruits | Woody Notes,Spicy Notes | Tobacco Leaf | Cacao | Tobacco Blossom | Tonka Bean | Vanilla | Dried Fruits | Woody Notes,,,"374-TMFO EL Inspired by the fragrance notes of TOBACCO VANILLE. Spicy oriental, coriander, cool lime,dried fruits, cinnamon, ginger , vanilla ,nutmeg, tonka and musk.",2026-08-21T00:39:16.104109+00:00
2878,1899-ZARK EL,THE MUSE - ZARKOPERFUME,THE MUSE - ZARKOPERFUME,Zarkoperfume,unisex,IN_STOCK,0,https://leparfum.com.gr/en/elegants-fragrances/1899-zark-el,SHOBI_OFFICIAL_EXPLICIT,https://raw.githubusercontent.com/smellyCat-deep/shobi_inspiration/main/database_complete.json,1,shobi-explicit-inspired-by,https://raw.githubusercontent.com/smellyCat-deep/shobi_inspiration/main/database_complete.json,https://www.fragrantica.com/perfume/ZARKOPERFUME/The-Muse-60665.html,,,,,,https://raw.githubusercontent.com/MarvvRed/Shobi-Perfume-Inspiration/fragrantica-image-cache/images/60665.avif,"1899-ZARK EL Inspired by the fragrance notes of THE MUSE - ZARKOPERFUME.Fragrance powdery, musky, floral, oud.",2026-08-21T00:39:16.104153+00:00
1807,111-BAC N,ROUGE 540 - BACCARAT,ROUGE 540 - BACCARAT,Maison Francis Kurkdjian,unisex,IN_STOCK,0,https://leparfum.com.gr/en/niche-perfumes/111-bac-n,SHOBI_OFFICIAL_EXPLICIT,https://raw.githubusercontent.com/smellyCat-deep/shobi_inspiration/main/database_complete.json,1,shobi-explicit-inspired-by,https://raw.githubusercontent.com/smellyCat-deep/shobi_inspiration/main/database_complete.json,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Baccarat-Rouge-540-Eau-de-Parfum-33519.html,,,,,,https://raw.githubusercontent.com/MarvvRed/Shobi-Perfume-Inspiration/fragrantica-image-cache/images/33519.avif,"111-BAC AR Inspired by the fragrance notes of ROUGE 540 - BACCARAT. Fragrance woody, amber, warm spicy, fresh spicy, aromatic, animalic, metallic.",2026-08-21T00:39:16.104193+00:00
1123,220-CRD EL,Virgin Island Water,Virgin Island Water,Creed,unisex,IN_STOCK,0,https://leparfum.com.gr/en/elegants-fragrances/220-crd-el,SECONDARY_EXACT_CODE,https://raw.githubusercontent.com/smellyCat-deep/shobi_inspiration/main/database_complete.json,1,,,https://creedboutique.com/products/virgin-island-water,Lime | Bergamot | Tropical Fruits,Coconut Milk | Jasmine | White Flowers,Tonka Bean | White Musks | Patchouli,Lime | Bergamot | Tropical Fruits | Coconut Milk | Jasmine | White Flowers | Tonka Bean | White Musks | Patchouli,,,Inspired by the fragrance notes of Virgin Island Water. Pina colada on the beach. Tropical vacation must have! Amazing summer / vacation scent.,2026-08-21T00:39:16.104228+00:00
1788,350-TMFO EL,LOST CHERRY,LOST CHERRY,Tom Ford,unisex,IN_STOCK,0,https://leparfum.com.gr/en/elegants-fragrances/350-tmfo-el,SHOBI_OFFICIAL_EXPLICIT,https://raw.githubusercontent.com/smellyCat-deep/shobi_inspiration/main/database_complete.json,1,shobi-explicit-inspired-by,https://raw.githubusercontent.com/smellyCat-deep/shobi_inspiration/main/database_complete.json,https://thescentbase.com/it/perfumes/tom-ford/lost-cherry,Bitter Almond | Black Cherry | Cherry Liqueur,Jasmine Sambac | Plum | Sour Cherry | Turkish Rose,Benzoin | Cedar | Cinnamon | Cloves | Patchouli | Peru Balsam | Sandalwood | Tonka Bean | Vanilla | Vetiver,Bitter Almond | Black Cherry | Cherry Liqueur | Jasmine Sambac | Plum | Sour Cherry | Turkish Rose | Benzoin | Cedar | Cinnamon | Cloves | Patchouli | Peru Balsam | Sandalwood | Tonka Bean | Vanilla | Vetiver,,,"350-TMFO EL Inspired by the fragrance notes of LOST CHERRY. Black cherry, cherry liquer, bitter almonds.",2026-08-21T00:39:16.104263+00:00
3814,2216-DOL WP,DEVOTION,DEVOTION,Dolce & Gabbana,women,IN_STOCK,0,https://leparfum.com.gr/en/fragrances-for-women/2216-dol-wp,SHOBI_OFFICIAL_EXPLICIT,https://raw.githubusercontent.com/smellyCat-deep/shobi_inspiration/main/database_complete.json,1,shobi-explicit-inspired-by,https://raw.githubusercontent.com/smellyCat-deep/shobi_inspiration/main/database_complete.json,https://www.fragrantica.com/perfume/Dolce-Gabbana/Devotion-84951.html,,,,,,https://raw.githubusercontent.com/MarvvRed/Shobi-Perfume-Inspiration/fragrantica-image-cache/images/84951.avif,"2216-DOL WP Inspired by the fragrance notes of DEVOTION. Perfume vanilla, sweet, white floral, powdery, citrus, rum, lactonic.",2026-08-21T00:39:16.104306+00:00
3512,2129-SOL EL,BRAZILIAN CRUSH CHEIROSA 62 - SOL DE JANEIRO,BRAZILIAN CRUSH CHEIROSA 62 - SOL DE JANEIRO,Sol De Janeiro,women,IN_STOCK,0,https://leparfum.com.gr/en/elegants-fragrances/2129-sol-el,SHOBI_OFFICIAL_EXPLICIT,https://raw.githubusercontent.com/smellyCat-deep/shobi_inspiration/main/database_complete.json,1,shobi-explicit-inspired-by,https://raw.githubusercontent.com/smellyCat-deep/shobi_inspiration/main/database_complete.json,https://www.fragrantica.com/perfume/sol-de-janeiro/brazilian-crush-cheirosa-62-56062.html,,,,,,https://raw.githubusercontent.com/MarvvRed/Shobi-Perfume-Inspiration/fragrantica-image-cache/images/56062.avif,"2129-SOL EL inspired by the fragrance notes of BRAZILIAN CRUSH CHEIROSA 62 - SOL DE JANEIRO.Fragrance vanilla, caramel, sweet, almond, nutty, woody, powdery, salty.",2026-08-21T00:39:16.104343+00:00
