rank,shobi_code,inspired_by,brand,gender,season,note_count,main_5_notes,fragrantica_url,name_ok,brand_ok,gender_ok,season_ok,notes5_ok,fragrantica_ok,complete_core,status
1,305-KAY EL,VANILLA 28 - KAYALI,Kayali,unisex,,0,,,1,1,1,0,0,0,0,"MISSING:season,notes5,fragrantica"
2,1508-KIL WP,ANGELS SHARE - KILIAN,Kilian Paris,women,,0,,https://www.fragrantica.com/perfume/By-Kilian/Angels-Share-62615.html,1,1,1,0,0,1,0,"MISSING:season,notes5"
3,451-BYR WP,Blanche,Byredo,women,,0,,https://www.fragrantica.com/perfume/Byredo/Blanche-6686.html,1,1,1,0,0,1,0,"MISSING:season,notes5"
4,374-TMFO EL,TOBACCO VANILLE,Tom Ford,unisex,,8,Spicy Notes|Tobacco Leaf|Cacao|Tobacco Blossom|Tonka Bean,https://thescentbase.com/it/perfumes/tom-ford/tobacco-vanille,1,1,1,0,1,1,0,MISSING:season
5,1899-ZARK EL,THE MUSE - ZARKOPERFUME,Zarkoperfume,unisex,,0,,https://www.fragrantica.com/perfume/ZARKOPERFUME/The-Muse-60665.html,1,1,1,0,0,1,0,"MISSING:season,notes5"
6,111-BAC N,ROUGE 540 - BACCARAT,Maison Francis Kurkdjian,unisex,,0,,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Baccarat-Rouge-540-Eau-de-Parfum-33519.html,1,1,1,0,0,1,0,"MISSING:season,notes5"
7,220-CRD EL,Virgin Island Water,Creed,unisex,,9,Lime|Bergamot|Tropical Fruits|Coconut Milk|Jasmine,https://creedboutique.com/products/virgin-island-water,1,1,1,0,1,1,0,MISSING:season
8,350-TMFO EL,LOST CHERRY,Tom Ford,unisex,,17,Bitter Almond|Black Cherry|Cherry Liqueur|Jasmine Sambac|Plum,https://thescentbase.com/it/perfumes/tom-ford/lost-cherry,1,1,1,0,1,1,0,MISSING:season
9,2216-DOL WP,DEVOTION,Dolce & Gabbana,women,,0,,https://www.fragrantica.com/perfume/Dolce-Gabbana/Devotion-84951.html,1,1,1,0,0,1,0,"MISSING:season,notes5"
10,2129-SOL EL,BRAZILIAN CRUSH CHEIROSA 62 - SOL DE JANEIRO,Sol De Janeiro,unisex,,0,,https://www.fragrantica.com/perfume/sol-de-janeiro/brazilian-crush-cheirosa-62-56062.html,1,1,1,0,0,1,0,"MISSING:season,notes5"
11,371-TMFO EL,SOLEIL BLANC,Tom Ford,unisex,,11,Bergamot|Cardamom|Pink Pepper|Pistachio|Jasmine,https://thescentbase.com/it/perfumes/tom-ford/soleil-blanc,1,1,1,0,1,1,0,MISSING:season
12,449-BYR WP,BAL D'AFRIQUE,Byredo,women,,0,,,1,1,1,0,0,0,0,"MISSING:season,notes5,fragrantica"
13,204-CRD EL,Avent,Creed,unisex,,0,,,1,1,1,0,0,0,0,"MISSING:season,notes5,fragrantica"
14,765-KIL WP,LOVE DONT BE SHY - KILIAN,Kilian Paris,women,,0,,,1,1,1,0,0,0,0,"MISSING:season,notes5,fragrantica"
15,994-ZAD WP,THIS IS HER - ZADIG & VOLTAIRE,Zadig & Voltaire,women,,0,,https://www.fragrantica.com/perfume/zadig-voltaire/this-is-her-39358.html,1,1,1,0,0,1,0,"MISSING:season,notes5"
16,2371-MATIE EL,VANILLA POWDER,Matiere Premiere,unisex,,9,Coconut Powder|Heliotrope|Madagascar Vanilla|Coconut|Lactones,https://thescentbase.com/it/perfumes/matiere-premiere/vanilla-powder,1,1,1,0,1,1,0,MISSING:season
17,2206-GIA LUX,BIANCO LATTE,Giardini Di Toscana,unisex,,5,Caramel|Coumarin|Honey|Vanilla|White Musk,https://www.parfumo.com/Perfumes/Giardini_di_Toscana/Bianco_Latte,1,1,1,0,1,1,0,MISSING:season
18,179-XER N,1861 NAXOS,Xerjoff,unisex,,11,Lemon|Bergamot|Lavender|Incense from Oman|Jasmine Sambac,https://www.xerjoff.com/en-eu/products/naxos-eau-de-parfum,1,1,1,0,1,1,0,MISSING:season
19,229-DIP EL,Philosykos Eau de Parfum,Diptyque,unisex,,0,,,1,1,1,0,0,0,0,"MISSING:season,notes5,fragrantica"
20,2162-BRB WP,Goddess,Burberry,women,,0,,,1,1,1,0,0,0,0,"MISSING:season,notes5,fragrantica"
21,1644-DRC M,SAUVAGE ELIXIR,,men,,0,,,1,0,1,0,0,0,0,"MISSING:brand,season,notes5,fragrantica"
22,2398-FRE LUX,Acne Studios,Frederic Malle,unisex,,0,,,1,1,1,0,0,0,0,"MISSING:season,notes5,fragrantica"
23,401-ARIA WP,CLOUD - ARIANA GRANDE,Ariana Grande,women,,0,,,1,1,1,0,0,0,0,"MISSING:season,notes5,fragrantica"
24,1660-ESCE EL,MOLECULE 01,Escentric Molecules,unisex,,0,,,1,1,1,0,0,0,0,"MISSING:season,notes5,fragrantica"
25,1067-CHA,,,,,0,,,0,0,0,0,0,0,0,MISSING_FROM_MASTER
26,1499-BYR EL,MOJAVE GHOST,Byredo,unisex,,0,,,1,1,1,0,0,0,0,"MISSING:season,notes5,fragrantica"
27,485-CAR WP,GOOD GIRL,Carolina Herrera,women,,20,Almond|Bergamot|Coffee|Lemon|Bulgarian Rose,https://thescentbase.com/it/perfumes/carolina-herrera/good-girl,1,1,1,0,1,1,0,MISSING:season
28,1520-YZLO W,LIBRE INTENSE,Ysl,women,,0,,,1,1,1,0,0,0,0,"MISSING:season,notes5,fragrantica"
29,152-PARF N,DELINA EXCLUSIF - PARFUMS DE MARLY,Parfums de Marly,unisex,,0,,,1,1,1,0,0,0,0,"MISSING:season,notes5,fragrantica"
30,1735-XER N,ITALICA,Xerjoff,unisex,,0,,,1,1,1,0,0,0,0,"MISSING:season,notes5,fragrantica"
31,1498-BYR EL,GYPSY WATER,Byredo,unisex,,0,,,1,1,1,0,0,0,0,"MISSING:season,notes5,fragrantica"
32,132-LTN N,OMBRE NOMADE,Louis Vuitton,unisex,,0,,,1,1,1,0,0,0,0,"MISSING:season,notes5,fragrantica"
33,1919-PRA WP,PARADOXE - PRADA,Prada,women,,0,,,1,1,1,0,0,0,0,"MISSING:season,notes5,fragrantica"
34,1764-GUR W,AQUA ALLEGORIA COCONUT FIZZ - GUERLAIN,Guerlain,women,,6,Bergamot|Coconut Nectar|Freesia|Water Fruit|Sandalwood,https://thescentbase.com/it/perfumes/guerlain/aqua-allegoria-coconut-fizz,1,1,1,0,1,1,0,MISSING:season
