shobi_code,shobi_name,inspired_by,brand,gender,status,new,shobi_url,identity_source_type,identity_source_url,identity_verified,identity_match_rule,secondary_identity_source,fragrantica_url,top_notes,heart_notes,base_notes,notes,season,image,description,last_built_utc
2849-STE N,HARRODS RUBY NAGA,HARRODS RUBY NAGA,Stéphane Humbert Lucas 777,unisex,IN_STOCK,1,https://leparfum.com.gr/en/niche-perfumes/2849-ste-n#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,SHOBI_OFFICIAL_EXPLICIT,https://www.fragrantica.com/perfume/stephane-humbert-lucas-777/harrods-ruby-naga-74594.html,1,single-exact-code-token+globally-unique-fragrantica-name,https://www.fragrantica.com/perfume/stephane-humbert-lucas-777/harrods-ruby-naga-74594.html,https://www.fragrantica.com/perfume/stephane-humbert-lucas-777/harrods-ruby-naga-74594.html,,,,,,https://raw.githubusercontent.com/MarvvRed/Shobi-Perfume-Inspiration/fragrantica-image-cache/images/74594.avif,"Niche Perfumes 2849-STE N AR612 From €15.00 2849-STE Inspired by the fragrance notes of HARRODS RUBY NAGA. Unisex perfume with fruity, floral, sweet, vanilla and amber notes. Add to cart",2026-08-17T14:04:44+00:00
2848-PRFRO N,VANITAS,VANITAS,Profumum Roma,unisex,IN_STOCK,1,https://leparfum.com.gr/en/niche-perfumes/2848-prfro-n#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,SHOBI_OFFICIAL_EXPLICIT,https://leparfum.com.gr/el/niche-αρώματα/2848-prfro-n#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,1,shobi-explicit-inspired-by,,,,,,,,,"Niche Perfumes 2848-PRFRO N AR611 From €15.00 2848-PRFRO Inspired by the fragrance notes of VANITAS. Unisex perfume with vanilla, sweet, balsamic, floral and woody notes. Add to cart",2026-08-17T14:04:44+00:00
2847-NISH N,HUNDRED SILENT WAYS X,HUNDRED SILENT WAYS X,Nishane,unisex,IN_STOCK,1,https://leparfum.com.gr/en/niche-perfumes/2847-nish-n#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,SHOBI_OFFICIAL_EXPLICIT,https://www.fragrantica.com/perfume/nishane/hundred-silent-ways-x-80463.html,1,learned-shobi-brand-token+fragrantica-name-exact,https://www.fragrantica.com/perfume/nishane/hundred-silent-ways-x-80463.html,https://www.fragrantica.com/perfume/Nishane/Hundred-Silent-Ways-X-80463.html,Peach | Tuberose | Mandarin Orange,Gardenia | Jasmine | Heliotrope | Iris,Leather | Vanilla | Patchouli,Peach | Tuberose | Mandarin Orange | Gardenia | Jasmine | Heliotrope | Iris | Leather | Vanilla | Patchouli,,https://raw.githubusercontent.com/MarvvRed/Shobi-Perfume-Inspiration/fragrantica-image-cache/images/80463.avif,"Niche Perfumes 2847-NISH N AR610 From €15.00 2847-NISH Inspired by the fragrance notes of HUNDRED SILENT WAYS X. Unisex perfume with floral, gourmand, leathery, vanilla and fruity notes. Add to cart",2026-08-17T14:04:44+00:00
2846-MIN N,COUNTER PLAY,COUNTER PLAY,Mind Games,unisex,IN_STOCK,1,https://leparfum.com.gr/en/niche-perfumes/2846-min-n#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,SHOBI_OFFICIAL_EXPLICIT,https://leparfum.com.gr/el/niche-αρώματα/2846-min-n#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,1,shobi-explicit-inspired-by,,,,,,,,,"Niche Perfumes 2846-MIN N AR609 From €15.00 2846-MIN Inspired by the fragrance notes of COUNTER PLAY. Unisex perfume with fruity, tropical, floral, woody and sweet notes. Add to cart",2026-08-17T14:04:44+00:00
2845-LUS,WE BELIEVE IN GLINDA,WE BELIEVE IN GLINDA,Lush,unisex,IN_STOCK,1,https://leparfum.com.gr/en/elegants-fragrances/2845-lus#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,SHOBI_OFFICIAL_EXPLICIT,https://leparfum.com.gr/el/elegant-αρώματα/2845-lus#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,1,shobi-explicit-inspired-by,,https://www.fragrantica.com/perfume/Lush/We-Believe-in-Glinda-117589.html,,,,,,https://raw.githubusercontent.com/MarvvRed/Shobi-Perfume-Inspiration/fragrantica-image-cache/images/117589.avif,"Elegants Fragrances 2845-LUS EL473 From €10.00 2845-LUS Inspired by the fragrance notes of WE BELIEVE IN GLINDA. Unisex perfume with powdery, floral, violet, vanilla and almond notes. Add to cart",2026-08-17T14:04:44+00:00
2844-LUS,BLACK PEARL,BLACK PEARL,Lush,unisex,IN_STOCK,1,https://leparfum.com.gr/en/elegants-fragrances/2844-lus#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,SHOBI_OFFICIAL_EXPLICIT,https://leparfum.com.gr/el/elegant-αρώματα/2844-lus#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,1,shobi-explicit-inspired-by,,,,,,,,,"Elegants Fragrances 2844-LUS EL472 From €10.00 2844-LUS Inspired by the fragrance notes of BLACK PEARL. Unisex perfume with aromatic, herbal, floral, resinous and amber notes. Add to cart",2026-08-17T14:04:44+00:00
2843-LEL N,LABDANUM 18,LABDANUM 18,Le Labo,unisex,IN_STOCK,1,https://leparfum.com.gr/en/niche-perfumes/2843-lel-n#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,SHOBI_OFFICIAL_EXPLICIT,https://leparfum.com.gr/el/niche-αρώματα/2843-lel-n#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,1,shobi-explicit-inspired-by,,,,,,,,,"Niche Perfumes 2843-LEL N AR608 From €15.00 2843-LEL Inspired by the fragrance notes of LABDANUM 18. Unisex perfume with amber, musky, resinous, vanilla and warm spicy notes. Add to cart",2026-08-17T14:04:44+00:00
2842-KYLJ W,VANILLA DEW,VANILLA DEW,Kylie Jenner,women,IN_STOCK,1,https://leparfum.com.gr/en/fragrances-for-women/2842-kylj-w#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,SHOBI_OFFICIAL_EXPLICIT,https://leparfum.com.gr/el/γυναικεία-αρώματα/2842-kylj-w#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,1,shobi-explicit-inspired-by,,https://www.fragrantica.com/perfume/Kylie-Cosmetics/Vanilla-Dew-117345.html,,,,,,https://raw.githubusercontent.com/MarvvRed/Shobi-Perfume-Inspiration/fragrantica-image-cache/images/117345.avif,"Fragrances For Women 2842-KYLJ W WP883 From €9.00 2842-KYLJ Inspired by the fragrance notes of VANILLA DEW. Women's perfume with creamy, vanilla, milky, floral and almond notes. Add to cart",2026-08-17T14:04:44+00:00
2841-KYLJ W,SWEET ECLAIRE,SWEET ECLAIRE,Kylie Jenner,women,IN_STOCK,1,https://leparfum.com.gr/en/fragrances-for-women/2841-kylj-w#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,SHOBI_OFFICIAL_EXPLICIT,https://leparfum.com.gr/el/γυναικεία-αρώματα/2841-kylj-w#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,1,shobi-explicit-inspired-by,,,,,,,,,"Fragrances For Women 2841-KYLJ W WP882 From €9.00 2841-KYLJ Inspired by the fragrance notes of SWEET ECLAIRE. Women's perfume with gourmand, chocolate, vanilla, sweet and woody amber notes. Add to cart",2026-08-17T14:04:44+00:00
2840-KYLJ W,CARAMEL CLOUD,CARAMEL CLOUD,Kylie Jenner,women,IN_STOCK,1,https://leparfum.com.gr/en/fragrances-for-women/2840-kylj-w#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,SHOBI_OFFICIAL_EXPLICIT,https://leparfum.com.gr/el/γυναικεία-αρώματα/2840-kylj-w#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,1,shobi-explicit-inspired-by,,,,,,,,,"Fragrances For Women 2840-KYLJ W WP881 From €9.00 2840-KYLJ Inspired by the fragrance notes of CARAMEL CLOUD. Women's perfume with gourmand, caramel, vanilla, nutty and sweet notes. Add to cart",2026-08-17T14:04:44+00:00
